arc,number,magnet,size
Romance Dawn,,magnet:?xt=urn:btih:cdab4a928dbbff643bbe5531f216eb36a60c85af&dn=%5BOne%20Pace%5D%5B1-7%5D%20Romance%20Dawn%20%5B1080p%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,2181693144
Orange Town,,magnet:?xt=urn:btih:35f4c7c850dd11fac6f55dc5dfd6633e0e3f406f&dn=%5BOne%20Pace%5D%5B8-21%5D%20Orange%20Town%20%5B1080p%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,2414544867
Syrup Village,,magnet:?xt=urn:btih:f6c32b46bb55924888aed6815bfa0edb7287a45e&dn=%5BOne%20Pace%5D%5B23-41%5D%20Syrup%20Village%20%5B1080p%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,4450106916
Gaimon,,magnet:?xt=urn:btih:8ef4ef99b9aed84a0111114f9efd830ced8046ae&dn=%5BOne%20Pace%5D%5B42%2C22%5D%20Gaimon%2001%20%5B1080p%5D%5BF4754074%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,588001396
Baratie,01,magnet:?xt=urn:btih:1dd4173b425487b4224493565739d85083bed570&dn=%5BOne%20Pace%5D%5B42-44%5D%20Baratie%2001%20%5B1080p%5D%5BBE634289%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,712002925
Baratie,02,magnet:?xt=urn:btih:6cf2faf6f5d96a58dfd846070dd098d18d324642&dn=%5BOne%20Pace%5D%5B45-47%5D%20Baratie%2002%20%5B1080p%5D%5B9BD35F80%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,718002606
Baratie,03,magnet:?xt=urn:btih:5d546b5605ed333d87ecc858e6a4a2ed2675d52e&dn=%5BOne%20Pace%5D%5B48-52%5D%20Baratie%2003%20%5B1080p%5D%5BE90342F6%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,876482107
Baratie,04,magnet:?xt=urn:btih:393ba7ec5e3de1e091e58e75347eab1c80785de2&dn=%5BOne%20Pace%5D%5B53-55%5D%20Baratie%2004%20%5B1080p%5D%5B792BE789%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,597470538
Baratie,05,magnet:?xt=urn:btih:c2f3bec263a39710ad7654bf9ebb8c06ec1b955c&dn=%5BOne%20Pace%5D%5B56-59%5D%20Baratie%2005%20%5B1080p%5D%5BACEA0537%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,731792196
Baratie,06,magnet:?xt=urn:btih:0697a5ddacdebc624df67961c7d8ca85b61410dc&dn=%5BOne%20Pace%5D%5B59-63%5D%20Baratie%2006%20%5B1080p%5D%5B1375A4F5%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,801745944
